# energy_eV sigma_m2
1.40670000e+01 1.67710872e-21
1.40690000e+01 1.68081340e-21
1.40700000e+01 1.68260986e-21
1.40710000e+01 1.68441951e-21
1.40720000e+01 1.68622108e-21
1.40730000e+01 1.68803991e-21
1.40740000e+01 1.68984542e-21
1.40750000e+01 1.69166932e-21
1.40760000e+01 1.69351419e-21
1.40800000e+01 1.70125337e-21
1.40810000e+01 1.70313612e-21
1.40820000e+01 1.70504299e-21
1.40850000e+01 1.71094576e-21
1.40880000e+01 1.71655824e-21
1.40900000e+01 1.72028119e-21
1.40910000e+01 1.72215527e-21
1.40920000e+01 1.72402817e-21
1.40940000e+01 1.72779408e-21
1.40960000e+01 1.73154419e-21
1.40970000e+01 1.73343444e-21
1.40980000e+01 1.73533327e-21
1.41000000e+01 1.73909846e-21
1.41010000e+01 1.74099203e-21
1.41020000e+01 1.74289537e-21
1.41030000e+01 1.74480713e-21
1.41060000e+01 1.75043565e-21
1.41070000e+01 1.75232804e-21
1.41120000e+01 1.76172548e-21
1.41130000e+01 1.76361513e-21
1.41140000e+01 1.76551301e-21
1.41160000e+01 1.76933904e-21
1.41190000e+01 1.77496087e-21
1.41200000e+01 1.77684702e-21
1.41210000e+01 1.77872958e-21
1.41220000e+01 1.78059402e-21
1.41250000e+01 1.78619639e-21
1.41270000e+01 1.78996276e-21
1.41300000e+01 1.79558791e-21
1.41310000e+01 1.79747203e-21
1.41320000e+01 1.79936092e-21
1.41330000e+01 1.80125538e-21
1.41340000e+01 1.80313763e-21
1.41350000e+01 1.80502157e-21
1.41370000e+01 1.80878129e-21
1.41380000e+01 1.81066758e-21
1.41400000e+01 1.81442959e-21
1.41410000e+01 1.81630751e-21
1.41430000e+01 1.82004628e-21
1.41450000e+01 1.82380840e-21
1.41470000e+01 1.82759001e-21
1.41480000e+01 1.82945832e-21
1.41520000e+01 1.83698139e-21
1.41530000e+01 1.83886951e-21
1.41540000e+01 1.84074705e-21
1.41550000e+01 1.84263007e-21
1.41580000e+01 1.84828445e-21
1.41590000e+01 1.85016263e-21
1.41600000e+01 1.85204368e-21
1.41610000e+01 1.85391386e-21
1.41620000e+01 1.85578183e-21
1.41630000e+01 1.85765479e-21
1.41640000e+01 1.85952819e-21
1.41670000e+01 1.86517617e-21
1.41680000e+01 1.86706749e-21
1.41700000e+01 1.87084790e-21
1.41710000e+01 1.87274515e-21
1.41720000e+01 1.87464592e-21
1.41770000e+01 1.88417519e-21
1.41780000e+01 1.88607438e-21
1.41800000e+01 1.88988266e-21
1.41810000e+01 1.89179412e-21
1.41820000e+01 1.89370108e-21
1.41830000e+01 1.89558832e-21
1.41860000e+01 1.90127604e-21
1.41880000e+01 1.90508370e-21
1.41890000e+01 1.90696220e-21
1.41900000e+01 1.90884306e-21
1.41910000e+01 1.91072469e-21
1.41960000e+01 1.92014069e-21
1.41970000e+01 1.92202330e-21
1.41980000e+01 1.92390986e-21
1.41990000e+01 1.92579939e-21
1.42000000e+01 1.92768494e-21
1.42010000e+01 1.92957537e-21
1.42020000e+01 1.93146961e-21
1.42050000e+01 1.93716871e-21
1.42060000e+01 1.93905461e-21
1.42080000e+01 1.94283838e-21
1.42090000e+01 1.94473532e-21
1.42100000e+01 1.94661133e-21
1.42110000e+01 1.94849174e-21
1.42130000e+01 1.95224807e-21
1.42140000e+01 1.95412181e-21
1.42150000e+01 1.95610033e-21
1.42160000e+01 1.95800109e-21
1.42180000e+01 1.96181236e-21
1.42210000e+01 1.96759301e-21
1.42220000e+01 1.96953100e-21
1.42230000e+01 1.97147579e-21
1.42250000e+01 1.97541990e-21
1.42270000e+01 1.97945748e-21
1.42290000e+01 1.98361950e-21
1.42300000e+01 1.98576253e-21
1.42310000e+01 1.98795650e-21
1.42330000e+01 1.99187320e-21
1.42340000e+01 1.99383457e-21
1.42350000e+01 1.99587347e-21
1.42360000e+01 1.99786157e-21
1.42370000e+01 1.99986043e-21
1.42380000e+01 2.00185514e-21
1.42420000e+01 2.00997681e-21
1.42430000e+01 2.01204539e-21
1.42440000e+01 2.01412558e-21
1.42470000e+01 2.02046553e-21
1.42480000e+01 2.02263758e-21
1.42490000e+01 2.02484321e-21
1.42510000e+01 2.02926937e-21
1.42520000e+01 2.03136128e-21
1.42530000e+01 2.03343649e-21
1.42540000e+01 2.03547600e-21
1.42560000e+01 2.03958966e-21
1.42570000e+01 2.04166752e-21
1.42580000e+01 2.04375868e-21
1.42620000e+01 2.05208023e-21
1.42630000e+01 2.05418478e-21
1.42650000e+01 2.05841680e-21
1.42670000e+01 2.06268332e-21
1.42680000e+01 2.06479124e-21
1.42690000e+01 2.06690765e-21
1.42700000e+01 2.06899270e-21
1.42710000e+01 2.07108354e-21
1.42720000e+01 2.07317323e-21
1.42730000e+01 2.07526170e-21
1.42750000e+01 2.07945733e-21
1.42760000e+01 2.08155428e-21
1.42770000e+01 2.08364604e-21
1.42780000e+01 2.08573722e-21
1.42790000e+01 2.08783131e-21
1.42810000e+01 2.09203821e-21
1.42820000e+01 2.09415225e-21
1.42860000e+01 2.10266889e-21
1.42870000e+01 2.10479766e-21
1.42880000e+01 2.10690115e-21
1.42890000e+01 2.10901066e-21
1.42900000e+01 2.11111647e-21
1.42910000e+01 2.11322847e-21
1.42930000e+01 2.11743318e-21
1.42940000e+01 2.11953731e-21
1.42950000e+01 2.12164140e-21
1.42970000e+01 2.12584951e-21
1.42980000e+01 2.12794084e-21
1.42990000e+01 2.13003062e-21
1.43010000e+01 2.13422809e-21
1.43030000e+01 2.13840895e-21
1.43040000e+01 2.14050821e-21
1.43050000e+01 2.14258763e-21
1.43060000e+01 2.14467277e-21
1.43070000e+01 2.14674962e-21
1.43080000e+01 2.14882827e-21
1.43090000e+01 2.15090617e-21
1.43100000e+01 2.15298568e-21
1.43120000e+01 2.15715271e-21
1.43130000e+01 2.15924182e-21
1.43150000e+01 2.16342847e-21
1.43160000e+01 2.16552581e-21
1.43200000e+01 2.17397243e-21
1.43210000e+01 2.17607479e-21
1.43230000e+01 2.18029249e-21
1.43240000e+01 2.18239210e-21
1.43260000e+01 2.18657001e-21
1.43270000e+01 2.18864342e-21
1.43280000e+01 2.19072158e-21
1.43290000e+01 2.19280062e-21
1.43310000e+01 2.19697114e-21
1.43320000e+01 2.19905343e-21
1.43330000e+01 2.20114017e-21
1.43370000e+01 2.20952980e-21
1.43380000e+01 2.21163547e-21
1.43390000e+01 2.21374511e-21
1.43400000e+01 2.21584918e-21
1.43420000e+01 2.22004915e-21
1.43430000e+01 2.22212984e-21
1.43440000e+01 2.22420353e-21
1.43450000e+01 2.22628100e-21
1.43470000e+01 2.23044400e-21
1.43480000e+01 2.23252973e-21
1.43500000e+01 2.23671076e-21
1.43510000e+01 2.23880544e-21
1.43520000e+01 2.24090400e-21
1.43540000e+01 2.24509858e-21
1.43560000e+01 2.24929950e-21
1.43570000e+01 2.25140580e-21
1.43580000e+01 2.25351602e-21
1.43590000e+01 2.25563048e-21
1.43620000e+01 2.26198545e-21
